date:2022-08-04 11:03:07	thread:main	level:INFO 	logger:com.ctf.auth.CtfAuthApplication                 	msg:The following profiles are active: native
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 112657
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 112702
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 112737
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 112766
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 112796
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 112833
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 112886
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Acquired Connection [com.mysql.cj.jdbc.ConnectionImpl@72e44bde] for JDBC transaction
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Switching JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@72e44bde] to manual commit
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:DEBUG	logger:c.c.auth.mapper.AuthMapper.getSysUserByUsername 	msg:==>  Preparing: SELECT USERNAME AS "USERNAME",PASSWORD AS "PASSWORD" FROM mscode_sys_user WHERE username = ?
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:DEBUG	logger:c.c.auth.mapper.AuthMapper.getSysUserByUsername 	msg:==> Parameters: admin(String)
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:DEBUG	logger:c.c.auth.mapper.AuthMapper.getSysUserByUsername 	msg:<==      Total: 1
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:DEBUG	logger:c.c.a.mapper.AuthMapper.queryRoleCodeByUsername 	msg:==>  Preparing: SELECT role_code AS "roleCode" FROM mscode_sys_user msu LEFT JOIN mscode_sys_role_user msru ON msu.id = msru.user_id INNER JOIN mscode_sys_role msr ON msru.role_id = msr.id AND msu.username = ?
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:DEBUG	logger:c.c.a.mapper.AuthMapper.queryRoleCodeByUsername 	msg:==> Parameters: admin(String)
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:DEBUG	logger:c.c.a.mapper.AuthMapper.queryRoleCodeByUsername 	msg:<==      Total: 2
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Initiating transaction commit
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Committing JDBC transaction on Connection [com.mysql.cj.jdbc.ConnectionImpl@72e44bde]
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Releasing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@72e44bde] after transaction
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed 200 OK
date:2022-08-04 11:05:08	thread:http-nio-10004-exec-3	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:GET "/uaa/users/getSysUser", parameters={}
date:2022-08-04 11:05:08	thread:http-nio-10004-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.auth.service.impl.AuthServiceImpl.getSysUser]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
date:2022-08-04 11:05:08	thread:http-nio-10004-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Acquired Connection [com.mysql.cj.jdbc.ConnectionImpl@72e44bde] for JDBC transaction
date:2022-08-04 11:05:08	thread:http-nio-10004-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Switching JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@72e44bde] to manual commit
date:2022-08-04 11:05:08	thread:http-nio-10004-exec-3	level:DEBUG	logger:com.ctf.auth.mapper.AuthMapper.getSysUser       	msg:==>  Preparing: SELECT CAST(msu.id AS CHAR) AS "id",msu.username AS "username",msu.nickname AS "nickname",msu.phone AS "phone",msu.mobile AS "mobile",msu.email AS "email",msu.province_regioncode AS "provinceRegionCode",msrp.region_name AS "provinceRegionName",msu.city_regioncode AS "cityRegionCode",msrc.region_name AS "cityRegionName",msu.address AS "address",msu.profile AS "profile",msu.notify_message AS "notifyMessage",msu.notify_todo AS "notifyTodo",msu.avatar AS "avatar",GROUP_CONCAT(msr.role_code) AS "roles" FROM mscode_sys_user msu LEFT JOIN mscode_sys_region msrp ON msu.province_regioncode = msrp.region_code LEFT JOIN mscode_sys_region msrc ON msu.city_regioncode = msrc.region_code LEFT JOIN mscode_sys_role_user msru ON msu.id = msru.user_id LEFT JOIN mscode_sys_role msr ON msr.id = msru.role_id WHERE username = ?
date:2022-08-04 11:05:08	thread:http-nio-10004-exec-3	level:DEBUG	logger:com.ctf.auth.mapper.AuthMapper.getSysUser       	msg:==> Parameters: admin(String)
date:2022-08-04 11:05:08	thread:http-nio-10004-exec-3	level:DEBUG	logger:com.ctf.auth.mapper.AuthMapper.getSysUser       	msg:<==      Total: 1
date:2022-08-04 11:05:08	thread:http-nio-10004-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Initiating transaction commit
date:2022-08-04 11:05:08	thread:http-nio-10004-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Committing JDBC transaction on Connection [com.mysql.cj.jdbc.ConnectionImpl@72e44bde]
date:2022-08-04 11:05:08	thread:http-nio-10004-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Releasing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@72e44bde] after transaction
date:2022-08-04 11:05:08	thread:http-nio-10004-exec-3	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed 200 OK
date:2022-08-04 11:05:08	thread:http-nio-10004-exec-4	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:GET "/uaa/users/current", parameters={}
date:2022-08-04 11:05:08	thread:http-nio-10004-exec-4	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed 200 OK
date:2022-08-04 11:18:47	thread:Thread-2	level:WARN 	logger:c.alibaba.nacos.common.http.HttpClientBeanHolder	msg:[HttpClientBeanHolder] Start destroying common HttpClient
date:2022-08-04 11:18:47	thread:Thread-21	level:WARN 	logger:com.alibaba.nacos.common.notify.NotifyCenter    	msg:[NotifyCenter] Start destroying Publisher
date:2022-08-04 11:18:47	thread:Thread-21	level:WARN 	logger:com.alibaba.nacos.common.notify.NotifyCenter    	msg:[NotifyCenter] Destruction of the end
date:2022-08-04 11:18:47	thread:Thread-2	level:WARN 	logger:c.alibaba.nacos.common.http.HttpClientBeanHolder	msg:[HttpClientBeanHolder] Destruction of the end
date:2022-08-04 11:18:54	thread:SpringContextShutdownHook	level:WARN 	logger:com.alibaba.nacos.client.naming                 	msg:[NamingHttpClientManager] Start destroying NacosRestTemplate
date:2022-08-04 11:18:54	thread:SpringContextShutdownHook	level:WARN 	logger:com.alibaba.nacos.client.naming                 	msg:[NamingHttpClientManager] Destruction of the end
date:2022-08-04 11:18:54	thread:SpringContextShutdownHook	level:WARN 	logger:o.s.beans.factory.support.DisposableBeanAdapter 	msg:Destroy method 'close' on bean with name 'nacosServiceRegistry' threw an exception: java.lang.NullPointerException
